tipo_concesion,titular,titulo,uso,autoridad_emisora,fecha,volumen_aguas_nacionales_m3_anio_limpio,volumen_m3_anio_original_limpio,anexos_descarga,volumen_m3_dia_limpio,volumen_m3_anio_limpio,tiene_coordenadas,coordenadas_matches,latitud_decimal,longitud_decimal,lat_grados,lat_minutos,lat_segundos,lat_hemisferio,lon_grados,lon_minutos,lon_segundos,lon_hemisferio,estado_descarga,municipio_descarga,region_hidrologica,cuenca,cuerpo_receptor,descarga_afluente,procedencia,forma_descargar,tipo_descarga,numero_descarga,record_key
descarga_aguas_residuales,Grupo Osgumex S. De R.L. De C.V.,08JAL162319/12EMDA26,Servicios,Dirección De Administración Del Agua En El Organismo De Cuenca Lerma Santiago Pacífico,2026-03-27T00:00:00Z,0.0,0.0,0,3.64,1328.6000000000001,no,0,,,,,,,,,,,,,,,,,,,,,
descarga_aguas_residuales,Dsm Nutritional Products Mexico S.A. De C.V.,870719,Industrial,Organismo De Cuenca Lerma Santiago Pacifico,2025-04-12T00:00:00Z,0.0,0.0,1,0,0,si,1,20.49643138888889,-103.22187277777778,20,29,47.153,N,103,13,18.742,W,JALISCO,TLAJOMULCO DE ZÚÑIGA,LERMA-SANTIAGO,206,RIO,,,,,1,registro::870719
descarga_aguas_residuales,Impulsora De Transportes Mexicanos S.A. De C.V.,08JAL162291/12EKOC25,Servicios,Dirección General Del Organismo De Cuenca Lerma Santiago Pacífico,2025-11-13T00:00:00Z,0.0,0.0,0,59.4,21681,no,0,,,,,,,,,,,,,,,,,,,,,
descarga_aguas_residuales,Aislantes Y Empaques  S.A. De C.V.,08JAL162290/12IMOC25,Diferentes Usos,Dirección General Del Organismo De Cuenca Lerma Santiago Pacífico,2025-10-28T00:00:00Z,0.0,0.0,0,13.8,5037,no,0,,,,,,,,,,,,,,,,,,,,,
descarga_aguas_residuales,Gca Acabados Y Materiales S.A.P.I. De C.V.,08JAL162304/12EKOC25,Servicios,Dirección General Del Organismo De Cuenca Lerma Santiago Pacífico,2025-10-24T00:00:00Z,0.0,0.0,1,189,68985,si,1,20.480055555555555,-103.2713888888889,20,28,48.2,N,103,16,17.0,W,JALISCO,TLAJOMULCO DE ZÚÑIGA,LERMA-SANTIAGO,0,ARROYO,NULL,BODEGAS DENTRO DE UN PARQUE INDUSTRIAL ALQUILER SIN INTERMEDIACION,PERMANENTE,,1,registro::08JAL162304/12EKOC25
descarga_aguas_residuales,Tierra Y Armonia S.A. De C.V.,08JAL162292/12EKOC25,Servicios,Dirección General Del Organismo De Cuenca Lerma Santiago Pacífico,2025-07-30T00:00:00Z,0.0,0.0,1,473.42,172798.30000000002,si,1,20.527444444444445,-103.48683333333334,20,31,38.8,N,103,29,12.6,W,JALISCO,TLAJOMULCO DE ZÚÑIGA,LERMA-SANTIAGO,0,SUELO,NULL,SERVICIOS GENERALES,PERMANENTE,,1,registro::08JAL162292/12EKOC25
descarga_aguas_residuales,Tierra Y Armonia S.A. De C.V.,08JAL162294/12EQOC25,Servicios,Dirección General Del Organismo De Cuenca Lerma Santiago Pacífico,2025-06-24T00:00:00Z,0.0,0.0,1,596.16,217598.4,si,1,20.574305555555554,-103.49325,20,34,27.5,N,103,29,35.7,W,JALISCO,TLAJOMULCO DE ZÚÑIGA,LERMA-SANTIAGO,0,SUELO,NULL,CONSTRUCCION DE VIVIENDA RESIDENCIAL UNIFAMILIAR SUPERVISION,PERMANENTE,,1,registro::08JAL162294/12EQOC25
descarga_aguas_residuales,Tierra Y Armonia Construccion S.A. De C.V.,08JAL162295/12EMOC25,Servicios,Dirección General Del Organismo De Cuenca Lerma Santiago Pacífico,2025-06-24T00:00:00Z,0.0,0.0,1,109.59,40000.35,si,1,20.48413888888889,-103.48494444444445,20,29,2.9,N,103,29,5.8,W,JALISCO,TLAJOMULCO DE ZÚÑIGA,LERMA-SANTIAGO,0,SUELO,NULL,"CONSTRUCCION DE VIVIENDA RESIDENCIAL UNIFAMILIAR, SUPERVISION",PERMANENTE,,1,registro::08JAL162295/12EMOC25
descarga_aguas_residuales,Alen Del Norte  S.A. De C.V.,08JAL162270/12FQDA25,Industrial,Dirección De Administración Del Agua En El Organismo De Cuenca Lerma Santiago Pacífico,2025-05-15T00:00:00Z,0.0,0.0,2,113.7,41500.5,si,2,20.48902777777778,-103.26633333333334,20,29,20.5,N,103,15,58.8,W,JALISCO,TLAJOMULCO DE ZÚÑIGA,LERMA-SANTIAGO,0,SUELO,NULL,"DETERGENTES, FABRICACION",PERMANENTE,,1,registro::08JAL162270/12FQDA25
descarga_aguas_residuales,Mega Empack  S.A. De C.V S.A. De C.V.,866146,Industrial,Organismo De Cuenca Lerma Santiago Pacifico,2025-05-14T00:00:00Z,0.0,0.0,1,0,0,si,1,20.469214444444443,-103.41559000000001,20,28,9.172,N,103,24,56.124,W,JALISCO,TLAJOMULCO DE ZÚÑIGA,LERMA-SANTIAGO,206,SUELO,,,,,1,registro::866146
