Name,Geometry_Type,Latitude,Longitude,extrude,source_layer,tessellate,visibility
2,Point,20.47886324945697,-103.4956487,0,Pozos profundos y norias de riego,-1,-1
3,Point,20.47920416489951,-103.4951075,0,Pozos profundos y norias de riego,-1,-1
4,Point,20.47637073086636,-103.4951763,0,Pozos profundos y norias de riego,-1,-1
5,Point,20.48411546,-103.5028038,0,Pozos profundos y norias de riego,-1,-1
6,Point,20.48497110206683,-103.5029314,0,Pozos profundos y norias de riego,-1,-1
7,Point,20.48361664154027,-103.5044902,0,Pozos profundos y norias de riego,-1,-1
8,Point,20.48409484849467,-103.4958734,0,Pozos profundos y norias de riego,-1,-1
9,Point,20.48432409455731,-103.5038891,0,Pozos profundos y norias de riego,-1,-1
10,Point,20.48406799456079,-103.4983902,0,Pozos profundos y norias de riego,-1,-1
11,Point,20.48387227054976,-103.505355,0,Pozos profundos y norias de riego,-1,-1
13,Point,20.48192351197583,-103.5072731,0,Pozos profundos y norias de riego,-1,-1
14,Point,20.48280728705186,-103.5087664,0,Pozos profundos y norias de riego,-1,-1
15,Point,20.48174713902547,-103.5081858,0,Pozos profundos y norias de riego,-1,-1
16,Point,20.48178784125863,-103.5095549,0,Pozos profundos y norias de riego,-1,-1
17,Point,20.48676432947203,-103.5032333,0,Pozos profundos y norias de riego,-1,-1
18,Point,20.48843671829242,-103.4937769,0,Pozos profundos y norias de riego,-1,-1
19,Point,20.48810797513701,-103.4933693,0,Pozos profundos y norias de riego,-1,-1
20,Point,20.48881384935008,-103.4923498,0,Pozos profundos y norias de riego,-1,-1
21-A,Point,20.48694212267582,-103.4935248,0,Pozos profundos y norias de riego,-1,-1
21-B,Point,20.48599719579271,-103.4916358,0,Pozos profundos y norias de riego,-1,-1
22,Point,20.48296737400945,-103.4933721,0,Pozos profundos y norias de riego,-1,-1
23,Point,20.48523360866135,-103.495958,0,Pozos profundos y norias de riego,-1,-1
24,Point,20.47778297087649,-103.4936801,0,Pozos profundos y norias de riego,-1,-1
25,Point,20.46826077,-103.5041576,0,Pozos profundos y norias de riego,-1,-1
26,Point,20.47974967276728,-103.5007656,0,Pozos profundos y norias de riego,-1,-1
27,Point,20.48003644565408,-103.5021452,0,Pozos profundos y norias de riego,-1,-1
28,Point,20.47930389164878,-103.5189378,0,Pozos profundos y norias de riego,-1,-1
29,Point,20.48086869,-103.505294,0,Pozos profundos y norias de riego,-1,-1
30,Point,20.48190105600595,-103.5051896,0,Pozos profundos y norias de riego,-1,-1
31,Point,20.47932703319304,-103.5041793,0,Pozos profundos y norias de riego,-1,-1
32,Point,20.47911581404705,-103.5068068,0,Pozos profundos y norias de riego,-1,-1
33,Point,20.48510558748866,-103.5019741,0,Pozos profundos y norias de riego,-1,-1
34,Point,20.47807056900233,-103.506227,0,Pozos profundos y norias de riego,-1,-1
35,Point,20.48221872755296,-103.5063668,0,Pozos profundos y norias de riego,-1,-1
36,Point,20.48241755321636,-103.5075377,0,Pozos profundos y norias de riego,-1,-1
37,Point,20.48417643049853,-103.4951197,0,Pozos profundos y norias de riego,-1,-1
38,Point,20.48270426971861,-103.4978705,0,Pozos profundos y norias de riego,-1,-1
39-A,Point,20.47371031134771,-103.4902519,0,Pozos profundos y norias de riego,-1,-1
39-B,Point,20.47317227948345,-103.4901167,0,Pozos profundos y norias de riego,-1,-1
40,Point,20.46098331975683,-103.4977067,0,Pozos profundos y norias de riego,-1,-1
41,Point,20.47437665954006,-103.488875,0,Pozos profundos y norias de riego,-1,-1
42,Point,20.48368698828429,-103.5434851,0,Pozos profundos y norias de riego,-1,-1
43,Point,20.48324011131299,-103.541911,0,Pozos profundos y norias de riego,-1,-1
44,Point,20.47740258749113,-103.4913678,0,Pozos profundos y norias de riego,-1,-1
45,Point,20.47488883171478,-103.4924004,0,Pozos profundos y norias de riego,-1,-1
46,Point,20.47926583352896,-103.4913275,0,Pozos profundos y norias de riego,-1,-1
47,Point,20.47903079563398,-103.4886296,0,Pozos profundos y norias de riego,-1,-1
48,Point,20.47896863290037,-103.4929214,0,Pozos profundos y norias de riego,-1,-1
49,Point,20.47110053770215,-103.4908883,0,Pozos profundos y norias de riego,-1,-1
50,Point,20.47843387880843,-103.5224149,0,Pozos profundos y norias de riego,-1,-1
51,Point,20.47344019424273,-103.4944316,0,Pozos profundos y norias de riego,-1,-1
52,Point,20.47920848408629,-103.489945,0,Pozos profundos y norias de riego,-1,-1
53,Point,20.47855147508271,-103.523401,0,Pozos profundos y norias de riego,-1,-1
54,Point,20.48195312218396,-103.5387714,0,Pozos profundos y norias de riego,-1,-1
55,Point,20.48062387094187,-103.5345159,0,Pozos profundos y norias de riego,-1,-1
56-A,Point,20.48577796,-103.5431334,0,Pozos profundos y norias de riego,-1,-1
56-B,Point,20.48520725052832,-103.5427605,0,Pozos profundos y norias de riego,-1,-1
56-C,Point,20.48450787472171,-103.5428096,0,Pozos profundos y norias de riego,-1,-1
57,Point,20.48478597011934,-103.546695,0,Pozos profundos y norias de riego,-1,-1
58,Point,20.48490767315931,-103.5452941,0,Pozos profundos y norias de riego,-1,-1
59,Point,20.48273916734036,-103.5452435,0,Pozos profundos y norias de riego,-1,-1
60,Point,20.48457623666038,-103.5497216,0,Pozos profundos y norias de riego,-1,-1
61,Point,20.48998952090663,-103.5531481,0,Pozos profundos y norias de riego,-1,-1
62,Point,20.49264826010735,-103.550923,0,Pozos profundos y norias de riego,-1,-1
63,Point,20.47983257124213,-103.5289354,0,Pozos profundos y norias de riego,-1,-1
64,Point,20.47559957625171,-103.5110237,0,Pozos profundos y norias de riego,-1,-1
65,Point,20.47709213477002,-103.5122312,0,Pozos profundos y norias de riego,-1,-1
